"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"AE","https://fr.trustpilot.com/users/6065f85ce3c5e0001ae17fe8","AEG","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 2 jours","https://fr.trustpilot.com/reviews/652fc080745fb2701cc144fe","A FUIR! PIRE SITE EN LIGNE!!!!!","Horrible expérience avec la redoute et relai colis. Commande devant être livrée le -4, elle a tout simplement été annulée sans me prévenir puis repositionner le 18. Sauf que le 18 relais colis s’appercoit qu’il n’est pas équipé et donc reparti pour une date que seul eux connaissent. Commande 2: on me livre le mauvais matelas (est ce une vente forcée ? ) faudra attendre de nombreuses semaines que le matelas soit repris et peut être qu’un jour j’aurai le bon matelas","18 octobre 2023","Date de l'expérience:","Utile","Partager",""
"SJ","https://fr.trustpilot.com/users/5f3e9fa2df4cc6d33bb2f175","Sjef","3 avis","NL","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 3 jours","https://fr.trustpilot.com/reviews/652d72c60e49cb1fe86dc107","2 sofas dans la nature.....","coucou laredoute, coucou relais colis, j attends toujours les 2 sofas manquants des 4 sofas commandes. Livraison confirmee pour le 5 octobre,  ma commande 202332333042412 est partiellement livree. A suivre des que les 2 sofas manquants arrivent. Please Sherlok Holmes help. Relais Colis injoignable, SAV  la redoute sur une autre planete je crois.,,","05 octobre 2023","Date de l'expérience:","Utile","Partager",""
"GH","https://fr.trustpilot.com/users/5eccc86dc66da322ba8dfe76","G H","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 2 jours","https://fr.trustpilot.com/reviews/652fe4e5ed5c9af42e8a89af","Vol de mon smartphone","Bonjour chers lecteurs, J'ai acheté il y a un mois ou deux, un blouson à cent euros à la Redoute. La poche intérieure est si ridiculement petite que mon smartphone et mon portefeuille sont très très serrés dedans. Ce qui fait que mon smartphone est tombé de ma place assise dans le bus 62 et,j'ai perdu un smartphone Motorola G 6 Play avec des photos auxquelles je tenais beaucoup. Je peux vous dire que je redoutefortement, la Redoute depuis.Cordialement,GH","22 août 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/5d8f9850f378d1a462b36c0f","Gregory Popovski","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Il y a 21 heures","https://fr.trustpilot.com/reviews/6530e20518b165c994b4c4cc","Nul après avoir commandé un meuble le…","Nul après avoir commandé un meuble le retour et catastrophique 1 semaines et encore aucune prise en charge et les remboursement sont de 14 jours après réception du retour donc attendez-vous à 1mois pour vous faire rembourser  Retour mrc la redoute","13 octobre 2023","Date de l'expérience:","Utile","Partager",""
"QS","https://fr.trustpilot.com/users/62752cc73e034a0013e0705b","Quentin Simon","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 3 jours","https://fr.trustpilot.com/reviews/652eb1cfdb2ba118fd53157a","Je déconseille fortement La Redoute","Je déconseille la redoute, SAV totalement incompétent, sommier recus au bout d’un mois déchiré, je refuse le colis et le SAV m’indique qu’il faut attendre 15 jours pour le remboursement afin de repasser une nouvelle commande où il faudra que j’attende un mois une nouvelle fois !!Totalement inadmissible.","17 octobre 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/652e2d2e70e9450012e09ca1","Alice Roulon","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 3 jours","https://fr.trustpilot.com/reviews/652e2d3470258bc10b47f1f5","SAV exécrable","Ça fait 1 mois que je me bats avec le service après vente pour renvoyer un article défectueux. Après au moins une quinzaine d'appels la réponse est toujours la même ""j'ai transmis la demande on vous rappelle sous 3 jours ouvrés"", je n'ai jamais été rappelé une seule fois. C'est une honte de prendre a ce point ses clients pour des imbéciles. Je ne commanderai plus jamais sur la Redoute.","17 octobre 2023","Date de l'expérience:","Utile","Partager",""
"EH","https://fr.trustpilot.com/users/5868f7040000ff000a676f70","emmanuelle H","3 avis","BE","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","12 oct. 2023","https://fr.trustpilot.com/reviews/6527fd41953a5ea2c4f8d6ba","Service après-vente 2 fois au top pour…","Service après-vente 2 fois au top pour le même produit.Femme hyper gentille et serviable sur le forum et très disponible et arrangeante.Je suis impressionnée par le sérieux du service après-vente !","01 septembre 2023","Date de l'expérience:","Utile","Partager",""
"AL","https://fr.trustpilot.com/users/64209f30481a950013bdbe52","alessio","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 oct. 2023","https://fr.trustpilot.com/reviews/6527a09924f5668a7aea756d","Professionalisme inexistant","J'appelle le service client, car je rencontre des difficultés pour valider ma commande, le service client au lieu de résoudre le problème me demander d'aller commander sur un autre site. Je me demande si l'entreprise est au courant de ce genre d'action. Du coup, je vais me faire un plaisir d'aller voir chez vos concurrents.","12 octobre 2023","Date de l'expérience:","Utile","Partager",""
"FB","https://fr.trustpilot.com/users/652ce69f00f335001231155f","Frederique boidron","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","ll y a 4 jours","https://fr.trustpilot.com/reviews/652ce6abaca324afcd128fac","Très déçue par la redoute!","Très déçue par laRedoute… livraison non conforme , produit manquant, service client dans un CALL center donc compliqué… Je ne commanderais plus..","16 octobre 2023","Date de l'expérience:","Utile","Partager",""
"SB","https://fr.trustpilot.com/users/65259174d5cbf700123f1630","Sheherazade Belhadi","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 oct. 2023","https://fr.trustpilot.com/reviews/6525918445211ab93cb309aa","Une étoile c’est encore trop","Une étoile c’est encore trop Service après vente d’une incompétence et d’une nullité.J’ai du demander le remboursement car leur service de livraison est en dessous de tout , ils livrent à la date qu’ils veulent et non pas à celle que j’ai validé.après plusieurs appels à part signifier qu’ils sont désolés, ils sont totalement inefficace et inutile.A fuir.","10 octobre 2023","Date de l'expérience:","Utile","Partager",""
"AF","https://fr.trustpilot.com/users/55e40bbf0000ff0001d80590","Atelier FB","11 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","6 oct. 2023","https://fr.trustpilot.com/reviews/65202dd71b174967ecbf1d84","Professionnelles","Nous utilisons La Redoute à des fins professionnelles, en tant qu'architecte d'intérieur. Ils sont tout simplement nuls. Pas de fourniture de facture automatisée sur leur plateforme de market place, pour une commande avec 4 articles La Redoute (donc hors market place), vous pouvez disposer de 3 factures, dont l'une intégrant les frais de livraison et pas les autres. Le casse-tête comptable est chronophage et inutile. On peut continuer dans les relances comptables ou, fort de leur médiocrité, nous sommes relancés depuis un an pour une facture réglée dont ils n'ont pas su faire leur propre rapprochement.","02 octobre 2023","Date de l'expérience:","Utile","Partager",""
"CD","https://fr.trustpilot.com/users/5f6f8b44971efac5cbb07a06","Chadia Delimi","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Il y a un jour","https://fr.trustpilot.com/reviews/6530277d6a6294bba175dcc4","Par obligation de mettre 1 étoile en…","Par obligation de mettre 1 étoile en mérite zéro article médiocre pourtant je me suis fié à vendu et expédié par la redoute car je leur accord ma confiance depuis plus de 40 ans extrêmement déçue je demande remboursement car inutilisable ou perdre du temps a rafistoler pourtant article d'une valeur de 400 €  et on a attendu  5 semaines j'aurais préféré ne pas le recevoir","04 septembre 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/65171596c8fe820012903958","Chloe Baldissera","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 sept. 2023","https://fr.trustpilot.com/reviews/6517159cf5eeac3f680e9f32","Service client désastreux","Après avoir reçu un article abîmé j'ai demandé le remboursement. J'avais payé en carte cadeau que j'ai ensuite jeté. Ils m'ont remboursé sur cette carte cadeau qui n'était plus en ma possession. Après avoir contacté le service après vente pour trouver une solution il m'ont dit que j'aurais dû lire les conditions générales que c'est indiqué ! Aucune solution proposée pat leur service. Je ne recommande pas déjà il me livre un article abîmé et défectueux et après avoir dû réclamer plusieurs fois mon remboursement il ne propose pas plusieurs solution","29 septembre 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/64e3891c2acd740012beb335","Alice Garcia-Falières","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","3 oct. 2023","https://fr.trustpilot.com/reviews/651c19c34a9c066648946685","J'ai mis 1 étoile car je n'avais pas le…","J'ai mis 1 étoile car je n'avais pas le choix... j'aurais pu mettre zéro je l'aurais fait ! La redoute s'engage sur ""une livraison gratuite et rapide""... ce qui est absolument faux : cela fait 10 mails que j'envoie pour qu'on prenne en charge la reprise de 2 tables filaires... résultat : j'ai 2 énormes cartons depuis plus un mois à la maison car je n'ai toujours pas pu le ré-envoyer. C'est scandaleux ! Idem qq. semaines ensuite : un manteau avec une photo laissant apparaitre des manches... puis un manteau reçu sans manche. Depuis, encore une fois : impossible d'obtenir des réponses pour retourner le produit. A fuir absolument, ne commandez pas chez la redoute !","03 octobre 2023","Date de l'expérience:","Utile","Partager",""
"MG","https://fr.trustpilot.com/users/5fad46a4f48d43001921aa90","Med Guebli","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","27 sept. 2023","https://fr.trustpilot.com/reviews/6513e1b20b4a11116fb0788e","Expérience client décevante, La Redoute à la traîne","Votre service clientèle est incroyablement frustrant, à un niveau que je n'aurais jamais imaginé. La Redoute refuse de faire quelque chose d'aussi simple que de modifier une adresse de facturation sur une facture. En comparaison, des entreprises comme Amazon gèrent cela sans aucun problème.Je suis stupéfait de voir à quel point La Redoute traite ses clients avec si peu de considération. Vous devriez sérieusement revoir vos politiques et vous inspirer de ce que font vos concurrents pour améliorer vos services. Il semble que l'efficacité et la satisfaction du client ne soient pas une priorité ici.C'est une expérience décevante, et je pense sérieusement à explorer d'autres options pour mes achats en ligne. Si La Redoute ne peut pas répondre aux besoins de ses clients de manière simple et efficace, alors quel est son intérêt ?","27 septembre 2023","Date de l'expérience:","Utile","Partager",""
"VÉ","https://fr.trustpilot.com/users/630c985273e4650013bc1120","Véronique","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","22 sept. 2023","https://fr.trustpilot.com/reviews/650da52fe5c3bb8aff0c914b","une histoire de matelas jamais le bon","matelas commandé début juillet, livraison d'un autre matelas en aout, et livraison encore d'un autre le 22 septembre !!! La redoute ne sais pas prévenir le client qu'ils n'ont pas le matelas demandé. ils vous livrent un autre produit en pensant que vous l'accepterez. J'appelle cela de la vente forcée.Service client, ils sont tous ""désolés"". Vous testez en recommandant le même modéle, livraison sous 10 jours ... c'est risible, mais fatiguant, commandez ailleurs","22 septembre 2023","Date de l'expérience:","Utile","Partager","1"
"BA","https://fr.trustpilot.com/users/65167477085d3e0011365621","BARTH","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 sept. 2023","https://fr.trustpilot.com/reviews/6516748e5af910b153d29d9c","Catastrophe","J'ai commandé un matelas. On ne m'a pas livré le bon (épaisseur moindre). Contact très très compliqué avec le service clientèle (qui ne maitrise pas toujours très bien le français). J'ai eu différents interlocuteurs et devait réexpliquer mon problème à chaque fois comme s'ils n'avaient pas connaissance de mon dossier... La société qui devait reprendre ce matelas ne m'a pas contacté alors qu'elle a déplacé la date du rendez-vous. Du coup s'est repoussé à nouveau. Me voilà donc depuis un mois avec un matelas que je ne peux utiliser. Bien sûr je ne serai remboursé qu'une quizaine de jours après réception du retour... Et devrait repasser une commande... sûrement pas sur le même site !","29 septembre 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/6511c180548d230012434abb","Juliette Allemane","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 sept. 2023","https://fr.trustpilot.com/reviews/6511c1871d0cf259d2eea9be","Délais de livraison trop longs","Délai d’expédition interminable ! J’ai payé 9,95 € pour la livraison express, pour qu’au final ils m’informent que le délai de livraison n’est compter qu’à partir de la date d’expédition de ma commande. Cela fait 6 jours que j’attends qu’ils « valide manuellement » ma commande et refusent de me rembourser les frais de livraison que j’ai payé en supplément.","25 septembre 2023","Date de l'expérience:","Utile","Partager",""
"EP","https://fr.trustpilot.com/users/5e42716dbef4a4d6b86c63a2","Epelle","8 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","12 août 2023","https://fr.trustpilot.com/reviews/64d6aa0dfe8b1245b465fed8","Erreur sur un achat","Je m'étais trompé sur le choix d'un matelas, confort très (trop) ferme, et j'ai téléphoné à plusieurs reprises pour annuler cet achat. C'était mon erreur. Tous les interlocuteurs qui m'ont répondu, renseigné, et ont traité mon dossier, dans un centre d'appel probablement situé dans un pays du Maghreb, se sont montrés vraiment très aimables, compréhensifs, polis et professionnels. Je tiens à le souligner. Le dossier à ensuite été rapidement.Je les en remercie !","25 juillet 2023","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/6516de899f16d400114c5faf","CEDRIC MARTIN","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","29 sept. 2023","https://fr.trustpilot.com/reviews/6516de92779c5c615d9cf613","Un SAV d'une incompétence abyssale","Un canapé qui aurait dû être livré le 17/09 mais que ne passe pas dans le hall ; je comprends et on me dit que je vais être contacté par La Redoute pour une livraison par nacelle. Que ni ni c'est moi qui relance quotidiennement avec des personnes pas toujours facile à comprendre et qui sont très très désolé et qui comprennent bien bien bien que c'est embêtant mais le prestataire ne répond pas pour fixer une date (surtout on ne l'appelle pas..) Je demande à parler à un responsable mais il n'est pas disponible mais on me rappelle dans la journée. Aucun appel bien sûr. Ce matin il n'y a pas de responsable  Cet après midi il n'y a pas de responsable mais on s'engage à me rappeler (à 2H du week-end j'en doute). l'expérience client du SAV La Redoute est détestable, c'est l'incompétence totale et du je m'en foutisme avec des engagements de rappels non tenus. Je ne sais quand je serai livré ; nous regardons la télé par terre... Mon numéro de commande est le 20231983341329 si un responsable veut me contacter.","29 septembre 2023","Date de l'expérience:","Utile","Partager",""
"SO","https://fr.trustpilot.com/users/61e5c7fa3433de0012bb7a8d","Sousou","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","19 sept. 2023","https://fr.trustpilot.com/reviews/6509a1cb2863e01108513c20","Erreur sur une  commande passée avec la…","Erreur sur une  commande passée avec la redoute tout de suite j'annule ma commande car j'ai le droit de rétractation je vois quoi ma commande a été débitée dans la seconde qui a suivi . j'appelle le service client ils me disent qu'ils procèdent pas à l'annulation de la commande car l'article a été expédié c'est une blague ?la honte ensuite faut attendre le remboursement....plus jamais je ne recommanderais auprès de la redoute c'est terminé !!!! La redoute a FUIIIIIIIIR","15 septembre 2023","Date de l'expérience:","Utile","Partager",""
