,model,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,recall_0,recall_macro,recall_weighted,precision_0,precision_macro,precision_weighted,time_train,time_predict
0,log_reg_bsl,0.7917518745739605,0.7354053533602927,0.8729729729729729,0.6477341235375261,0.821154219268499,0.6622222222222223,0.7354053533602927,0.7917518745739605,0.3102012491325468,0.6293495516049,0.8750741648581536,0.09565496444702148,0.010020017623901367
1,dec_tree_bsl,0.6353101567825494,0.6315501636818794,0.7554285714285714,0.5193753707779161,0.7011218534874697,0.6266666666666667,0.6315501636818794,0.6353101567825495,0.18303764604067504,0.5560957136585157,0.8433275387262398,0.009927988052368164,0.0012021064758300781
2,r_fo_bsl,0.6767211997273347,0.677503048976186,0.7874033396839627,0.5565171693087428,0.7342853557019335,0.6785185185185185,0.677503048976186,0.6767211997273347,0.21421889616463985,0.578020976232454,0.8581262587386546,0.6524431705474854,0.12142181396484375
3,g_nb_bsl,0.8282208588957055,0.6735194813531036,0.9000991080277502,0.6438527131876297,0.8411467165768022,0.4725925925925926,0.6735194813531036,0.8282208588957055,0.32852729145211124,0.6279148607556656,0.8584249217838623,0.0016210079193115234,0.00098419189453125
4,m_nb_bsl,0.7152351738241309,0.6399730406316195,0.8209578913532627,0.5627885586604016,0.7615631062245369,0.5422222222222223,0.6399730406316195,0.7152351738241309,0.21180555555555555,0.5685839371980677,0.8432814028185295,0.0024399757385253906,0.03266096115112305
5,c_nb_bsl,0.7152351738241309,0.6399730406316195,0.8209578913532627,0.5627885586604016,0.7615631062245369,0.5422222222222223,0.6399730406316195,0.7152351738241309,0.21180555555555555,0.5685839371980677,0.8432814028185295,0.001603841781616211,0.0002779960632324219
6,lsvc_bsl,0.8002726653033402,0.7305526670518006,0.8791752577319587,0.6517683754278654,0.8268577234595446,0.64,0.7305526670518006,0.8002726653033402,0.31741366642174873,0.6317487679790128,0.8737675118160475,0.14467597007751465,0.011363029479980469
7,svc_bsl,0.7648261758691206,0.7298594261505873,0.8536895674300253,0.627365617048346,0.8016211739373077,0.6844444444444444,0.7298594261505873,0.7648261758691206,0.283609576427256,0.6166809382490137,0.8731254530258884,0.6602847576141357,1.9473111629486084
8,knn_bsl,0.6988752556237219,0.6925977277103794,0.8046434494195689,0.5740051137844778,0.7515824826323546,0.6844444444444444,0.6925977277103794,0.6988752556237219,0.22916666666666666,0.5869353582554517,0.8623953017793321,0.008669853210449219,0.36664509773254395
9,gdb_bsl,0.7414792092706203,0.7372912253674819,0.835662441772289,0.6150368097084998,0.7849050110827669,0.7318518518518519,0.7372912253674819,0.7414792092706203,0.26994535519125684,0.61256059240494,0.8763533057197698,0.2988128662109375,0.010195016860961914
