id,SupplierReply,sentiment_scores
rev-0134d691-cf06-4caa-8d42-528cea655fa2,"Bonjour, merci pour vos encouragements. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.5696
rev-97bff9c6-1d08-4caf-8c8a-5fc8f168d817,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Nous nous excusons de nouveau pour ce désagrément. Ilham de l'équipe Service Client.",0.0
rev-b9f9a2c6-9c55-48d4-980a-3224367b0fc8,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-31ced4d5-10da-49dc-9111-8eb9ee5f2fe4,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.0
rev-d1d74f83-bd9a-468f-beeb-b2c64ebc65b2,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Nous nous excusons de nouveau pour ce désagrément. Ilham de l'équipe Service Client.",0.0
rev-e3e0c70f-ba7d-4ab1-856c-fab521200c1b,"Bonjour, merci pour vos encouragements. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.5696
rev-3d66e3f3-e22c-4e3c-a236-12e97f9b3dfe,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Nous nous excusons de nouveau pour ce désagrément. Ilham de l'équipe Service Client.",0.0
rev-79de8ba5-6963-4095-bbcf-655e22e6ed67,"Bonjour, merci d'avoir pris le temps de partager votre avis, et sommes désolés pour cette mauvaise expérience. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! A très vite. Ilham de l'équipe Service Client.


",0.0
rev-217b0185-fcf2-4ef8-8851-7a049f77f164,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-711159db-8cf0-445d-b959-17aa34f5da92,"Bonjour, merci pour vos encouragements. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.5696
