,model,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,recall_0,recall_macro,recall_weighted,precision_0,precision_macro,precision_weighted,model_cat,size
0,linear_svc_tfidf_grid_rcm,0.8840802294171755,0.8840802294171755,0.9157194938880548,0.7629192707535513,0.8794526802151503,0.9138187221396732,0.8840802294171755,0.861400105801446,0.4579300074460163,0.7222644491943575,0.9238596635413114,tfidf,225.96975143033552
1,logistic_reg_tfidf_grid_rcm,0.8879641009449842,0.8879641009449842,0.9079089924160346,0.7527234356019566,0.8710760247786252,0.937592867756315,0.8879641009449842,0.8501146182331158,0.438498957609451,0.7142872859880903,0.924617830907437,tfidf,230.40082388956696
2,multinomialnb_tfidf_grid_rcm,0.8840949455562315,0.8840949455562315,0.9172642620143424,0.7652854576705028,0.8811924103749827,0.9108469539375929,0.8840949455562315,0.863692470463763,0.4622926093514329,0.7242418167585702,0.9240179271510706,tfidf,225.9863790534865
3,log_reg_bsl,0.7866394001363326,0.7357391360164324,0.8693110647181629,0.6443030277208626,0.8175454120347349,0.6696296296296296,0.7357391360164324,0.7866394001363326,0.3051991897366644,0.6271835930447626,0.8750918299476235,baseline,138.8226196650401
4,dec_tree_bsl,0.6431492842535788,0.6321124590795302,0.7622615803814713,0.5235488229776208,0.7073430012241437,0.6177777777777778,0.6321124590795302,0.6431492842535788,0.18508655126498,0.5568586283295854,0.8431003195664443,baseline,67.74471309846625
5,r_fo_bsl,0.6980231765507839,0.693405224982348,0.8038955289951307,0.5737996163494172,0.7509593527729573,0.6874074074074074,0.693405224982348,0.6980231765507839,0.2291358024691358,0.5871153901754995,0.8627377107715035,baseline,89.13177411566105
6,g_nb_bsl,0.8287321063394683,0.6718749598818923,0.9004851965541143,0.6432786398164585,0.8413119089610954,0.4681481481481481,0.6718749598818923,0.8287321063394683,0.3284823284823285,0.6276533126308912,0.8579966163771772,baseline,171.34182395166977
7,m_nb_bsl,0.7256305385139741,0.6400462160600808,0.8289417764555886,0.5680853460591196,0.7689287940024132,0.5288888888888889,0.6400462160600808,0.7256305385139741,0.2164948453608247,0.5705607670748186,0.843169804958906,baseline,102.32486392742581
8,c_nb_bsl,0.7256305385139741,0.6400462160600808,0.8289417764555886,0.5680853460591196,0.7689287940024132,0.5288888888888889,0.6400462160600808,0.7256305385139741,0.2164948453608247,0.5705607670748186,0.843169804958906,baseline,102.32486392742581
9,lsvc_bsl,0.7944785276073619,0.7317902304384107,0.8750518027351845,0.6481784925384175,0.8228570227819406,0.6503703703703704,0.7317902304384107,0.7944785276073619,0.311568488289567,0.6293209115590019,0.8739707834627692,baseline,144.37190416552608
10,svc_bsl,0.7711315610088616,0.7314885422684383,0.8582585751978892,0.6321368063959371,0.8062366958722867,0.68,0.7314885422684383,0.7711315610088616,0.2894073139974779,0.6194817980543205,0.8736189008097422,baseline,128.4651684627266
